code,performanceExpPubDate,performanceExpStatDate,performanceExpUpdateDate,performanceExpressTotalAsset,performanceExpressNetAsset,performanceExpressEPSChgPct,performanceExpressROEWa,performanceExpressEPSDiluted,performanceExpressGRYOY,performanceExpressOPYOY
sz.300235,2014-02-26,2013-12-31,2014-02-26,334860645.42,320298295.29,0.040234,7.99,0.28,-0.031984,-0.130438
sz.300236,2014-02-27,2013-12-31,2014-02-27,940727327.1,794263050.66,0.02834,8.82,0.47,0.4274020000000001,0.274979
sz.300237,2014-02-27,2013-12-31,2014-02-27,979434022.6,582391532.57,0.237072,5.65,0.56,0.360852,0.922297
sz.300238,2014-02-17,2013-12-31,2014-02-17,573617600.0,497807900.0,0.026052,8.62,0.33,0.142653,0.159456
sz.300239,2014-02-21,2013-12-31,2014-02-21,516510432.81,350847318.99,0.033582,12.5,0.2127,0.494603,0.004906000000000001
sz.300240,2014-02-25,2013-12-31,2014-02-25,1634777976.88,966034685.92,-0.26508000000000004,5.97,0.34,0.115031,-0.362895
sz.300241,2014-02-25,2013-12-31,2014-02-25,913560714.61,604669497.22,0.044935,9.89,0.262,0.363739,0.045861
sz.300242,2014-02-27,2013-12-31,2014-02-27,313331080.52,253069679.4,-0.447406,-11.09,-0.4,-0.033121,-9.956346
sz.300243,2014-02-27,2013-12-31,2014-02-27,712673500.0,394800800.0,-0.043076,7.9,0.29,0.004358,-0.050091
sz.300244,2014-02-28,2013-12-31,2014-02-28,812390720.7,576316200.9,0.22287,15.93,0.73,0.437496,0.524917
sz.300245,2014-02-26,2013-12-31,2014-02-26,705274000.0,596804600.0,0.090975,10.91,0.45,0.100008,0.27757800000000005
sz.300246,2014-02-26,2013-12-31,2014-02-26,471716400.0,385036200.0,-0.050608,7.73,0.2,0.288591,-0.129162
sz.300247,2014-02-27,2013-12-31,2014-02-27,669878453.05,582098056.25,-0.025205,2.82,0.13,0.074367,-0.03722
sz.300248,2014-02-28,2013-12-31,2014-02-28,583063872.27,507091402.12,-0.197088,4.93,0.2753,0.05602000000000002,-0.8476899999999999
sz.300249,2014-02-27,2013-12-31,2014-02-27,689186602.92,472478007.55,-0.140252,1.31,0.04,0.399471,-0.455267
sz.300250,2014-02-25,2013-12-31,2014-02-25,440060290.68,373939140.66,0.040494,7.7,0.35,-0.000101,0.028967000000000007
sz.300251,2014-02-28,2013-12-31,2014-02-28,2340478604.24,2219379482.53,0.035057,15.7,0.65,-0.125437,0.039922000000000006
sz.300252,2014-02-28,2013-12-31,2014-02-28,1487086215.79,694298291.08,-0.046751,3.62,0.15,0.193259,-0.7754880000000001
